 ,,,,,,,
      (shillings million),,,,,,,
FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
16-Feb,"456,209.90","1,102,919.13",0,"43,578.68","5,476.98",736.7373848,"1,608,921.43"
16-Mar,"498,398.45","1,099,065.48",0,"46,455.31","5,558.57",744.1454938,"1,650,221.96"
16-Apr,"533,403.45","1,109,129.28",0,"44,873.88","5,377.16",710.9372219,"1,693,494.70"
16-May,"579,414.90","1,124,992.13",0,"44,234.96","5,430.48",709.7526831,"1,754,782.23"
16-Jun,"613,037.70","1,156,496.73",0,"44,203.67","5,093.46",757.4781314,"1,819,589.04"
16-Jul,"602,705.75","1,190,575.38",0,"14,006.12","5,744.18",716.488504,"1,813,747.91"
16-Aug,"605,966.85","1,197,041.09",0,"13,280.24","5,773.45",713.1940119,"1,822,774.82"
16-Sep,"643,197.00","1,208,592.69",0,"3,319.34","5,530.12",730.2414029,"1,861,369.38"
16-Oct,"641,655.15","1,237,619.99",0,0,"6,382.82",707.6118396,"1,886,365.57"
16-Nov,"644,953.45","1,260,648.69",0,"12,666.95","5,729.80",702.9555613,"1,924,701.84"
16-Dec,"645,140.05","1,255,396.54",0,"29,932.63","5,738.79",700.8468998,"1,936,908.86"
17-Jan,"619,529.60","1,256,750.54",0,"17,304.25","5,857.26",707.0747947,"1,900,148.72"
17-Feb,"633,990.55","1,243,235.97",0,"25,997.41","5,863.37",798.7214036,"1,909,886.02"
17-Mar,"640,161.50","1,268,184.97",0,"30,270.16","5,956.93",705.8861211,"1,945,279.45"
17-Apr,"651,292.05","1,317,050.27",0,0,"5,657.06",693.03,"1,974,692.41"
17-May,"708,469.30","1,325,302.42",0,0,"10,856.49",869.6,"2,045,497.81"
17-Jun,"767,994.90","1,332,001.27",0,0,"11,019.90",720.55,"2,111,736.62"
17-Jul,"764,550.85","1,337,180.12",0,"9,209.00","12,169.33",705.46,"2,123,814.76"
17-Aug,"745,475.70","1,356,661.47",0,"21,189.80","11,934.77",697.97,"2,135,959.71"
17-Sep,"748,642.50","1,386,916.52",0,"24,716.63","12,217.67",699.6335986,"2,173,192.95"
17-Oct,"759,655.95","1,402,851.12",0,"17,382.49","15,977.18",695.84,"2,196,562.58"
17-Nov,"727,863.95","1,451,540.57",0,"40,662.24","8,281.87",691.8738628,"2,229,040.50"
17-Dec,"708,562.50","1,461,624.22",0,"42,316.13","8,048.20",696.4112988,"2,221,247.46"
18-Jan,"755,312.40","1,490,520.27",0,"29,917.29","7,472.41",681.6071681,"2,283,903.98"
18-Feb,"791,620.30","1,492,527.97",0,"46,207.85","7,530.85",704.5456317,"2,338,591.52"
